temperature,time,conectiondeviced,target
29.2,16,MXchip03,Normale
29.1,16,MXchip03,Normale
29.1,16,MXchip03,Normale
29.2,16,MXchip03,Normale
29.29,16,MXchip03,Anormale
29.2,16,MXchip03,Normale
29.2,16,MXchip03,Normale
29.29,16,MXchip03,Anormale
29.2,16,MXchip03,Normale
29.29,16,MXchip03,Anormale
29.2,16,MXchip03,Normale
29.29,16,MXchip03,Anormale
29.2,16,MXchip03,Normale
29.29,16,MXchip03,Anormale
29.2,16,MXchip03,Normale
29.1,16,MXchip03,Normale
29.2,16,MXchip03,Normale
29.29,16,MXchip03,Anormale
29.2,16,MXchip03,Normale
29.1,16,MXchip03,Normale
29.2,16,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.29,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.29,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.29,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.29,15,MXchip03,Normale
29.29,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.29,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.29,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
29.2,15,MXchip03,Normale
29.1,15,MXchip03,Normale
